study.spectra,nm,Absorption
Hennige_red,510.4136,0.472485769
Hennige_red,511.5185,0.457305503
Hennige_red,512.4379,0.451612903
Hennige_red,513.541,0.44402277
Hennige_red,514.4611,0.434535104
Hennige_red,515.381,0.426944972
Hennige_red,516.4849,0.415559772
Hennige_red,517.4042,0.409867173
Hennige_red,518.5093,0.394686907
Hennige_red,519.4285,0.388994307
Hennige_red,520.5308,0.383301708
Hennige_red,521.4493,0.379506641
Hennige_red,522.3692,0.371916509
Hennige_red,523.4723,0.364326376
Hennige_red,524.391,0.360531309
Hennige_red,525.4933,0.35483871
Hennige_red,526.4121,0.351043643
Hennige_red,527.5149,0.34345351
Hennige_red,528.4348,0.335863378
Hennige_red,529.5368,0.332068311
Hennige_red,530.4553,0.328273245
Hennige_red,531.3738,0.324478178
Hennige_red,532.4761,0.318785579
Hennige_red,533.3949,0.314990512
Hennige_red,534.4971,0.309297913
Hennige_red,535.4162,0.305502846
Hennige_red,536.5185,0.299810247
Hennige_red,537.4367,0.297912713
Hennige_red,538.5393,0.292220114
Hennige_red,539.4583,0.286527514
Hennige_red,540.3769,0.282732448
Hennige_red,541.4788,0.278937381
Hennige_red,542.3971,0.275142315
Hennige_red,543.4994,0.271347249
Hennige_red,544.4176,0.267552182
Hennige_red,545.5204,0.261859583
Hennige_red,546.4386,0.258064516
Hennige_red,547.541,0.25426945
Hennige_red,548.4595,0.250474383
Hennige_red,549.3788,0.244781784
Hennige_red,550.4805,0.240986717
Hennige_red,551.3985,0.239089184
Hennige_red,552.5008,0.235294118
Hennige_red,553.4193,0.231499051
Hennige_red,554.5213,0.227703985
Hennige_red,555.4395,0.223908918
Hennige_red,556.5415,0.220113852
Hennige_red,557.4603,0.216318786
Hennige_red,558.378,0.214421252
Hennige_red,559.4798,0.212523719
Hennige_red,560.3982,0.208728653
Hennige_red,561.5003,0.204933586
Hennige_red,562.4188,0.20113852
Hennige_red,563.5203,0.199240987
Hennige_red,564.4382,0.197343454
Hennige_red,565.5396,0.19544592
Hennige_red,566.4574,0.193548387
Hennige_red,567.3751,0.193548387
Hennige_red,568.476,0.193548387
Hennige_red,569.3937,0.191650854
Hennige_red,570.4949,0.191650854
Hennige_red,571.4129,0.189611006
Hennige_red,572.5141,0.188673624
Hennige_red,573.4318,0.187736243
Hennige_red,574.533,0.186798861
Hennige_red,575.4504,0.186795066
Hennige_red,576.3681,0.185857685
Hennige_red,577.4689,0.185855787
Hennige_red,578.3865,0.185851992
Hennige_red,579.4876,0.184914611
Hennige_red,580.4051,0.184912713
Hennige_red,581.5063,0.183973435
Hennige_red,582.424,0.183037951
Hennige_red,583.5252,0.182100569
Hennige_red,584.4426,0.182096774
Hennige_red,585.5434,0.182092979
Hennige_red,586.4609,0.182091082
Hennige_red,587.3784,0.182087287
Hennige_red,588.4793,0.182085389
Hennige_red,589.397,0.181148008
Hennige_red,590.4987,0.178341556
Hennige_red,591.417,0.175535104
Hennige_red,592.5187,0.17273055
Hennige_red,593.4369,0.169924099
Hennige_red,594.5387,0.167117647
Hennige_red,595.4567,0.165246679
Hennige_red,596.3744,0.164309298
Hennige_red,597.4755,0.163371917
Hennige_red,598.3935,0.161500949
Hennige_red,599.495,0.159628083
Hennige_red,600.4127,0.158690702
Hennige_red,601.5139,0.157753321
Hennige_red,602.4313,0.157751423
Hennige_red,603.5325,0.156814042
Hennige_red,604.4499,0.156810247
Hennige_red,605.3676,0.155874763
Hennige_red,606.4685,0.155870968
Hennige_red,607.386,0.155867173
Hennige_red,608.4866,0.156798861
Hennige_red,609.4035,0.158664137
Hennige_red,610.5042,0.159595825
Hennige_red,611.4213,0.160527514
Hennige_red,612.5217,0.162392789
Hennige_red,613.4389,0.163324478
Hennige_red,614.5394,0.164254269
Hennige_red,615.4569,0.164252372
Hennige_red,616.374,0.165184061
Hennige_red,617.475,0.165180266
Hennige_red,618.3921,0.166111954
Hennige_red,619.4931,0.166108159
Hennige_red,620.4102,0.167039848
Hennige_red,621.5112,0.167036053
Hennige_red,622.4283,0.167967742
Hennige_red,623.5293,0.167963947
Hennige_red,624.4466,0.167962049
Hennige_red,625.3641,0.167960152
Hennige_red,626.465,0.167956357
Hennige_red,627.3825,0.167952562
Hennige_red,628.4834,0.167950664
Hennige_red,629.4008,0.167946869
Hennige_red,630.5023,0.166075901
Hennige_red,631.42,0.16513852
Hennige_red,632.5213,0.163265655
Hennige_red,633.4389,0.163263757
Hennige_red,634.5398,0.163259962
Hennige_red,635.457,0.164191651
Hennige_red,636.3744,0.164189753
Hennige_red,637.4753,0.164185958
Hennige_red,638.3927,0.164182163
Hennige_red,639.4939,0.163244782
Hennige_red,640.4114,0.163242884
Hennige_red,641.5128,0.161370019
Hennige_red,642.4304,0.160432638
Hennige_red,643.5316,0.159495256
Hennige_red,644.4494,0.158559772
Hennige_red,645.3668,0.158555977
Hennige_red,646.468,0.157618596
Hennige_red,647.3855,0.157616698
Hennige_red,648.4864,0.157612903
Hennige_red,649.4033,0.159478178
Hennige_red,650.5037,0.161343454
Hennige_red,651.4203,0.164144213
Hennige_red,652.5198,0.168812144
Hennige_red,653.4335,0.181888046
Hennige_red,654.5301,0.197343454
Hennige_red,655.4442,0.208728653
Hennige_red,656.3592,0.216318786
Hennige_red,657.4564,0.229601518
Hennige_red,658.3705,0.240986717
Hennige_red,659.4658,0.259962049
Hennige_red,660.3775,0.280834915
Hennige_red,661.4746,0.292220114
Hennige_red,662.3847,0.318785579
Hennige_red,663.2978,0.333965844
Hennige_red,664.3931,0.352941176
Hennige_red,665.3064,0.366223909
Hennige_red,666.4022,0.385199241
Hennige_red,667.3158,0.398481973
Hennige_red,668.4127,0.411764706
Hennige_red,669.329,0.415559772
Hennige_red,670.43,0.415559772
Hennige_red,671.3477,0.413662239
Hennige_red,672.2659,0.411764706
Hennige_red,673.369,0.404174573
Hennige_red,674.2897,0.392789374
Hennige_red,675.3933,0.383301708
Hennige_red,676.3136,0.373814042
Hennige_red,677.4192,0.356736243
Hennige_red,678.341,0.34345351
Hennige_red,679.2666,0.314990512
Hennige_red,680.3729,0.29601518
Hennige_red,681.2979,0.269449715
Hennige_red,682.4135,0.220113852
Hennige_red,683.3347,0.20683112
Hennige_red,684.4405,0.18926945
Hennige_red,685.3623,0.174318786
Hennige_red,686.2865,0.150958254
Hennige_red,687.3953,0.12386148
Hennige_red,688.3165,0.110777989
Hennige_red,689.4217,0.095825427
Hennige_red,690.3427,0.083677419
Hennige_red,691.4471,0.071529412
Hennige_red,692.3665,0.064986717
Hennige_red,693.2854,0.059377609
Hennige_red,694.3875,0.055637571
Hennige_red,695.3058,0.05283112
Hennige_red,696.408,0.048157495
Hennige_red,697.3266,0.044417457
Hennige_red,698.4283,0.041611006
Hennige_red,699.3468,0.037870968
Hennige_red,700.2648,0.036
Hennige_red,701.3665,0.033193548
Hennige_red,702.2845,0.031322581
Hennige_red,703.386,0.029449715
Hennige_red,704.3039,0.027578748
Hennige_red,705.4051,0.026641366
Hennige_red,706.3228,0.025703985
Hennige_red,707.4243,0.02383112
Hennige_red,708.342,0.022895636
Hennige_red,709.4432,0.021958254
Hennige_green,400.2979,0.782841823
Hennige_green,401.398,0.788203753
Hennige_green,402.3138,0.796246649
Hennige_green,403.4136,0.801608579
Hennige_green,404.3286,0.81233244
Hennige_green,405.4271,0.8230563
Hennige_green,406.3426,0.833780161
Hennige_green,407.4414,0.844504021
Hennige_green,408.3577,0.849865952
Hennige_green,409.4573,0.855227882
Hennige_green,410.3725,0.865951743
Hennige_green,411.2881,0.876675603
Hennige_green,412.3879,0.882037534
Hennige_green,413.3045,0.884718499
Hennige_green,414.4043,0.890080429
Hennige_green,415.321,0.895442359
Hennige_green,416.4208,0.90080429
Hennige_green,417.3374,0.903485255
Hennige_green,418.4373,0.908847185
Hennige_green,419.3536,0.914209115
Hennige_green,420.4534,0.919571046
Hennige_green,421.3698,0.924932976
Hennige_green,422.4696,0.930294906
Hennige_green,423.386,0.935656836
Hennige_green,424.3023,0.941018767
Hennige_green,425.4022,0.943699732
Hennige_green,426.3182,0.951742627
Hennige_green,427.4175,0.959785523
Hennige_green,428.3338,0.965147453
Hennige_green,429.4334,0.973190349
Hennige_green,430.3495,0.978552279
Hennige_green,431.4491,0.986595174
Hennige_green,432.3654,0.989276139
Hennige_green,433.4655,0.99463807
Hennige_green,434.3822,0.997319035
Hennige_green,435.299,1
Hennige_green,436.4,1
Hennige_green,437.3174,1
Hennige_green,438.4186,1
Hennige_green,439.3368,0.99463807
Hennige_green,440.4394,0.986595174
Hennige_green,441.3584,0.981233244
Hennige_green,442.4621,0.967828418
Hennige_green,443.3811,0.959785523
Hennige_green,444.3002,0.951742627
Hennige_green,445.4027,0.943699732
Hennige_green,446.321,0.938337802
Hennige_green,447.423,0.932975871
Hennige_green,448.3412,0.930294906
Hennige_green,449.4432,0.924932976
Hennige_green,450.3609,0.922252011
Hennige_green,451.4621,0.922252011
Hennige_green,452.3795,0.922252011
Hennige_green,453.297,0.922252011
Hennige_green,454.3979,0.922252011
Hennige_green,455.3153,0.922252011
Hennige_green,456.416,0.922252011
Hennige_green,457.3334,0.922252011
Hennige_green,458.434,0.924932976
Hennige_green,459.3515,0.924932976
Hennige_green,460.4529,0.922252011
Hennige_green,461.3706,0.919571046
Hennige_green,462.2886,0.91689008
Hennige_green,463.3906,0.91152815
Hennige_green,464.3091,0.90616622
Hennige_green,465.412,0.898123324
Hennige_green,466.3317,0.887399464
Hennige_green,467.4352,0.873994638
Hennige_green,468.3542,0.865951743
Hennige_green,469.4573,0.855227882
Hennige_green,470.378,0.839142091
Hennige_green,471.2987,0.8230563
Hennige_green,472.4034,0.804289544
Hennige_green,473.3237,0.790884718
Hennige_green,474.4283,0.774798928
Hennige_green,475.3489,0.758713137
Hennige_green,476.4534,0.739946381
Hennige_green,477.3733,0.72922252
Hennige_green,478.2929,0.71849866
Hennige_green,479.3961,0.707774799
Hennige_green,480.3155,0.697050938
Hennige_green,481.4178,0.691689008
Hennige_green,482.3357,0.689008043
Hennige_green,483.4378,0.683646113
Hennige_green,484.3558,0.680965147
Hennige_green,485.4572,0.678284182
Hennige_green,486.3752,0.675603217
Hennige_green,487.2934,0.670241287
Hennige_green,488.3952,0.667560322
Hennige_green,489.3134,0.662198391
Hennige_green,490.4152,0.659517426
Hennige_green,491.3331,0.656836461
Hennige_green,492.4351,0.651474531
Hennige_green,493.3537,0.646112601
Hennige_green,494.4573,0.632707775
Hennige_green,495.3769,0.621983914
Hennige_green,496.2965,0.611260054
Hennige_green,497.4001,0.597855228
Hennige_green,498.3197,0.587131367
Hennige_green,499.4239,0.571045576
Hennige_green,500.3443,0.557640751
Hennige_green,501.4487,0.538873995
Hennige_green,502.3683,0.530831099
Hennige_green,503.2882,0.517426273
Hennige_green,504.3918,0.504021448
Hennige_green,505.3112,0.495978552
Hennige_green,506.414,0.485254692
Hennige_green,507.3333,0.477211796
Hennige_green,508.4372,0.461126005
Hennige_green,509.3574,0.44772118
Hennige_green,510.4607,0.436997319
Hennige_green,511.38,0.428954424
Hennige_green,512.2995,0.418230563
Hennige_green,513.4027,0.407506702
Hennige_green,514.3221,0.396782842
Hennige_green,515.4249,0.388739946
Hennige_green,516.3442,0.378016086
Hennige_green,517.4466,0.36997319
Hennige_green,518.3647,0.367292225
Hennige_green,519.4675,0.35924933
Hennige_green,520.3862,0.353887399
Hennige_green,521.3048,0.348525469
Hennige_green,522.4068,0.343163539
Hennige_green,523.3251,0.337801609
Hennige_green,524.4268,0.335120643
Hennige_green,525.3453,0.329758713
Hennige_green,526.4476,0.321715818
Hennige_green,527.366,0.316353887
Hennige_green,528.4681,0.310991957
Hennige_green,529.3864,0.308310992
Hennige_green,530.3049,0.302949062
Hennige_green,531.4069,0.297587131
Hennige_green,532.3249,0.294906166
Hennige_green,533.4266,0.289544236
Hennige_green,534.3448,0.286863271
Hennige_green,535.4471,0.278820375
Hennige_green,536.3656,0.273458445
Hennige_green,537.4679,0.268040214
Hennige_green,538.386,0.264075067
Hennige_green,539.3044,0.26010992
Hennige_green,540.4061,0.256147453
Hennige_green,541.3244,0.252182306
Hennige_green,542.4261,0.248217158
Hennige_green,543.3443,0.244254692
Hennige_green,544.4458,0.241608579
Hennige_green,545.3638,0.238965147
Hennige_green,546.4655,0.235
Hennige_green,547.3838,0.231037534
Hennige_green,548.302,0.227072386
Hennige_green,549.404,0.221788204
Hennige_green,550.3228,0.215182306
Hennige_green,551.4251,0.208579088
Hennige_green,552.3436,0.203294906
Hennige_green,553.4456,0.198010724
Hennige_green,554.3636,0.195367292
Hennige_green,555.4653,0.191402145
Hennige_green,556.3835,0.187436997
Hennige_green,557.3014,0.184793566
Hennige_green,558.4032,0.180828418
Hennige_green,559.3215,0.176863271
Hennige_green,560.4232,0.172900804
Hennige_green,561.3412,0.170254692
Hennige_green,562.4429,0.166292225
Hennige_green,563.3612,0.162327078
Hennige_green,564.4626,0.159683646
Hennige_green,565.3801,0.159678284
Hennige_green,566.2974,0.159675603
Hennige_green,567.3987,0.158351206
Hennige_green,568.3164,0.15702681
Hennige_green,569.4173,0.157021448
Hennige_green,570.3347,0.157016086
Hennige_green,571.4359,0.155691689
Hennige_green,572.3534,0.155689008
Hennige_green,573.4543,0.155683646
Hennige_green,574.3717,0.155680965
Hennige_green,575.2891,0.155675603
Hennige_green,576.3901,0.155670241
Hennige_green,577.3075,0.15566756
Hennige_green,578.4083,0.155662198
Hennige_green,579.3256,0.156978552
Hennige_green,580.4264,0.15697319
Hennige_green,581.3436,0.158289544
Hennige_green,582.4443,0.159605898
Hennige_green,583.3617,0.159603217
Hennige_green,584.4626,0.159597855
Hennige_green,585.3798,0.160914209
Hennige_green,586.2972,0.160908847
Hennige_green,587.3982,0.160903485
Hennige_green,588.3155,0.160900804
Hennige_green,589.4162,0.162217158
Hennige_green,590.3338,0.160892761
Hennige_green,591.4354,0.158246649
Hennige_green,592.3536,0.154284182
Hennige_green,593.4551,0.15163807
Hennige_green,594.3731,0.148994638
Hennige_green,595.2908,0.147670241
Hennige_green,596.3921,0.14502681
Hennige_green,597.3105,0.141061662
Hennige_green,598.4117,0.139737265
Hennige_green,599.3294,0.138412869
Hennige_green,600.4306,0.137088472
Hennige_green,601.3479,0.137085791
Hennige_green,602.4489,0.137080429
Hennige_green,603.3664,0.137075067
Hennige_green,604.4673,0.137072386
Hennige_green,605.3844,0.13838874
Hennige_green,606.3016,0.139705094
Hennige_green,607.402,0.142340483
Hennige_green,608.3191,0.143654155
Hennige_green,609.4198,0.144970509
Hennige_green,610.3367,0.147605898
Hennige_green,611.437,0.150241287
Hennige_green,612.3538,0.152879357
Hennige_green,613.4543,0.155514745
Hennige_green,614.3715,0.156831099
Hennige_green,615.2889,0.156825737
Hennige_green,616.3895,0.158142091
Hennige_green,617.3067,0.159458445
Hennige_green,618.4074,0.160772118
Hennige_green,619.3245,0.162088472
Hennige_green,620.4252,0.163404826
Hennige_green,621.3423,0.16472118
Hennige_green,622.443,0.166034853
Hennige_green,623.3604,0.166032172
Hennige_green,624.4611,0.167345845
Hennige_green,625.3785,0.167343164
Hennige_green,626.2959,0.167340483
Hennige_green,627.3968,0.167335121
Hennige_green,628.3143,0.167329759
Hennige_green,629.4155,0.166005362
Hennige_green,630.3329,0.166002681
Hennige_green,631.4338,0.165997319
Hennige_green,632.3512,0.165994638
Hennige_green,633.4522,0.165989276
Hennige_green,634.3696,0.165983914
Hennige_green,635.287,0.165981233
Hennige_green,636.3879,0.165975871
Hennige_green,637.3054,0.16597319
Hennige_green,638.4062,0.165967828
Hennige_green,639.3237,0.165962466
Hennige_green,640.4245,0.165959786
Hennige_green,641.3421,0.165954424
Hennige_green,642.4433,0.164630027
Hennige_green,643.361,0.16330563
Hennige_green,644.4619,0.163302949
Hennige_green,645.3793,0.163297587
Hennige_green,646.2965,0.164613941
Hennige_green,647.3971,0.165930295
Hennige_green,648.314,0.168565684
Hennige_green,649.4138,0.173841823
Hennige_green,650.3302,0.179117962
Hennige_green,651.4298,0.185713137
Hennige_green,652.3458,0.192308311
Hennige_green,653.4445,0.202863271
Hennige_green,654.3596,0.214739946
Hennige_green,655.4559,0.237176944
Hennige_green,656.3695,0.255651475
Hennige_green,657.2821,0.278820375
Hennige_green,658.3789,0.300268097
Hennige_green,659.292,0.319034853
Hennige_green,660.39,0.335120643
Hennige_green,661.3022,0.35924933
Hennige_green,662.3994,0.378016086
Hennige_green,663.3098,0.412868633
Hennige_green,664.222,0.436997319
Hennige_green,665.3167,0.469168901
Hennige_green,666.2309,0.485254692
Hennige_green,667.328,0.501340483
Hennige_green,668.2436,0.512064343
Hennige_green,669.3423,0.522788204
Hennige_green,670.2591,0.525469169
Hennige_green,671.3601,0.525469169
Hennige_green,672.2778,0.522788204
Hennige_green,673.3806,0.514745308
Hennige_green,674.3016,0.495978552
Hennige_green,675.2223,0.482573727
Hennige_green,676.3273,0.461126005
Hennige_green,677.2488,0.442359249
Hennige_green,678.357,0.404825737
Hennige_green,679.285,0.353887399
Hennige_green,680.207,0.332439678
Hennige_green,681.3139,0.302949062
Hennige_green,682.2362,0.278820375
Hennige_green,683.342,0.255538874
Hennige_green,684.2662,0.222533512
Hennige_green,685.3734,0.192168901
Hennige_green,686.2946,0.173683646
Hennige_green,687.2156,0.156520107
Hennige_green,688.3219,0.130115282
Hennige_green,689.2429,0.112949062
Hennige_green,690.3465,0.099745308
Hennige_green,691.2661,0.089182306
Hennige_green,692.3695,0.077297587
Hennige_green,693.2885,0.069372654
Hennige_green,694.207,0.064088472
Hennige_green,695.3085,0.061442359
Hennige_green,696.2267,0.057479893
Hennige_green,697.3285,0.053514745
Hennige_green,698.2467,0.049549598
Hennige_green,699.3482,0.046906166
Hennige_green,700.2661,0.044262735
Hennige_green,701.3676,0.041616622
Hennige_green,702.2856,0.03897319
Hennige_green,703.2033,0.037648794
Hennige_green,704.305,0.033683646
Hennige_green,705.2227,0.03236193
Hennige_green,706.3239,0.031034853
Hennige_green,707.2416,0.029713137
Hennige_green,708.3431,0.027067024
Hennige_green,709.2612,0.023103485
